Timestamp,AsOf,Location,Permits,Spots_Available,Vacancy_Enabled
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,60 Scenic Blvd (SE4),Blue,682,True
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,62 Scenic Blvd (SE5),Blue,191,True
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,133 Wellington Rd (OC1),Visitor,0,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,"N1 - L2, 2 Innovation Walk",Blue,515,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,"N1 - L3, 2 Innovation Walk",Blue,633,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,"N1 - L4, 2 Innovation Walk",Blue,636,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,"N1 - L5, 2 Innovation Walk",Blue,636,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,"Sth East 4 L1 (SE4), 60 Scenic Blvd",Blue,193,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,"Sth East 4 L2 (SE4), 60 Scenic Blvd",Blue,278,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,Northern,Blue,2509,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,Northern,Red,430,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,Northern,Yellow,15,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,Northern,Green,4,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,Northern,Blue,130,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,Southern,Visitor,325,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,Southern,Blue,887,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,Southern,Red,577,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,Southern,Yellow,0,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,Southern,Green,0,False
2026-08-20 21:58:37,21/08/2026 07:58:15 AM,Southern,None,0,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,10 Research Way (N1) Gnd,Orange,19,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,10 Research Way (N1) Gnd,Red,145,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,10 Research Way (N1) Gnd,Yellow,15,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,10 Research Way (N1) Gnd,Green,4,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,10 Research Way (N1) Gnd,Visitor,192,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,2 Innovation Walk (N1) L1-6,Blue,2339,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,2 Innovation Walk (N1) L1,Red,216,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,3 Alliance Lane (W1),Blue,78,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,30 Ancora Imparo Way (S1),Yellow / Green / Orange,0,True
